book_id,chapter_id,character_id
1,1,1
1,1,2
1,1,3
1,1,4
1,1,5
1,1,6
1,1,7
1,1,8
1,1,9
1,1,10
1,1,11
1,1,12
1,1,13
1,1,14
1,1,15
1,1,16
1,1,17
1,1,18
1,2,1
1,2,2
1,2,19
1,2,20
1,2,21
1,2,22
1,2,23
1,2,24
1,2,25
1,2,26
1,2,27
1,2,28
1,2,29
1,2,30
1,2,31
1,2,32
1,2,33
1,3,1
1,3,2
1,3,11
1,3,19
1,3,21
1,3,27
1,3,34
1,3,35
1,3,36
1,3,37
1,3,38
1,3,39
1,3,40
1,3,41
1,3,42
1,4,1
1,4,2
1,4,19
1,4,20
1,4,23
1,4,24
1,4,27
1,4,43
1,4,44
1,4,45
1,4,46
1,4,47
1,4,48
1,4,49
1,4,50
1,4,51
1,4,52
1,4,53
2,5,1
2,5,19
2,5,20
2,5,27
2,5,43
2,5,44
2,5,45
2,5,46
2,5,51
2,5,52
2,5,54
2,5,55
2,6,1
2,6,19
2,6,20
2,6,21
2,6,27
2,6,43
2,6,44
2,6,45
2,6,46
2,6,47
2,6,56
2,6,57
2,7,1
2,7,2
2,7,11
2,7,19
2,7,20
2,7,27
2,7,43
2,7,44
2,7,48
2,7,50
2,7,58
2,7,59
2,7,60
2,7,61
2,7,62
2,7,63
2,8,1
2,8,2
2,8,11
2,8,19
2,8,20
2,8,43
2,8,44
2,8,50
2,8,52
2,8,55
2,8,58
2,8,66
2,8,67
2,8,68
2,8,69
2,8,70
2,9,1
2,9,19
2,9,20
2,9,43
2,9,44
2,9,45
2,9,47
2,9,58
2,9,71
2,9,72
2,9,73
2,9,74
2,9,75
2,9,76
2,9,77
2,9,78
2,9,79
2,9,80
2,9,81
2,9,82
2,9,83
2,10,1
2,10,2
2,10,19
2,10,27
2,10,43
2,10,44
2,10,52
2,10,58
2,10,66
2,10,71
2,10,73
2,10,75
2,10,76
2,10,77
2,10,80
2,10,81
2,10,82
2,10,84
2,10,85
2,11,1
2,11,2
2,11,19
2,11,20
2,11,27
2,11,43
2,11,44
2,11,48
2,11,50
2,11,51
2,11,82
2,11,84
2,11,86
2,11,87
2,11,88
2,11,89
2,12,1
2,12,2
2,12,19
2,12,20
2,12,21
2,12,26
2,12,27
2,12,50
2,12,51
2,12,86
2,12,88
3,13,1
3,13,19
3,13,20
3,13,21
3,13,22
3,13,27
3,13,45
3,13,90
3,14,1
3,14,2
3,14,11
3,14,19
3,14,43
3,14,44
3,14,51
3,14,64
3,14,86
3,15,1
3,15,19
3,15,90
3,15,91
3,16,1
3,16,19
3,16,20
3,16,51
3,16,91
3,16,92
3,16,93
3,16,94
3,16,95
3,16,96
3,17,1
3,17,2
3,17,19
3,17,51
3,17,91
3,17,93
3,17,97
3,17,98
3,17,99
3,18,1
3,18,19
3,18,20
3,18,27
3,18,50
3,18,51
3,18,88
3,18,91
3,18,92
3,18,93
3,18,97
3,18,99
3,19,1
3,19,6
3,19,19
3,19,27
3,19,50
3,19,51
3,19,92
3,19,100
3,20,1
3,20,19
3,20,20
3,20,27
3,20,50
3,20,51
3,20,86
3,20,101
3,20,102
3,20,103
3,21,1
3,21,2
3,21,19
3,21,20
3,21,50
3,21,51
3,21,86
3,21,102
3,21,103
3,22,1
3,22,19
3,22,27
3,22,50
3,22,51
3,22,86
3,22,102
3,22,103
3,22,104
3,22,105
3,22,106
3,23,1
3,23,19
3,23,27
3,23,51
3,23,86
3,23,91
3,23,101
3,23,104
3,23,105
3,23,107
3,23,108
3,24,1
3,24,19
3,24,86
3,24,101
3,24,104
3,24,105
3,25,1
3,25,11
3,25,19
3,25,86
3,25,101
3,25,109
3,26,1
3,26,19
3,26,27
3,26,86
3,26,91
4,27,1
4,27,19
4,28,1
4,28,19
4,29,1
4,29,19
4,29,110
4,29,111
4,29,112
4,30,1
4,30,19
4,30,110
4,30,111
4,30,113
4,30,114
4,31,1
4,31,117
4,31,118
4,32,1
4,32,111
4,32,118
4,32,119
4,33,1
4,33,110
4,33,111
4,34,18
4,34,19
4,34,20
4,34,110
4,34,111
4,34,113
4,35,1
4,35,19
4,35,20
4,35,111
4,36,1
4,36,19
4,36,20
4,36,111
4,37,1
4,37,111
4,37,120
4,37,121
4,37,122
4,37,123
4,37,124
4,37,125
4,37,126
4,37,127
4,38,1
4,38,111
4,38,114
4,38,120
4,38,121
4,38,122
4,38,123
4,38,124
4,38,125
4,38,126
4,38,127
4,38,128
4,39,1
4,39,111
4,39,120
4,39,121
4,39,122
4,39,123
4,39,124
4,39,126
4,39,127
4,39,129
4,40,1
4,40,19
4,40,20
4,40,111
4,40,120
4,40,121
4,40,122
4,40,123
4,40,124
4,40,125
4,40,126
4,40,127
4,41,1
4,41,19
4,41,20
4,41,111
4,41,121
4,41,128
4,42,1
4,42,6
4,42,111
4,42,113
4,42,114
4,42,120
4,42,121
4,42,122
4,42,123
4,42,124
4,42,125
4,42,126
4,42,127
4,42,128
4,43,1
4,43,111
4,43,113
4,43,114
4,43,121
4,44,1
4,44,111
4,44,113
4,44,114
4,44,121
4,45,1
4,45,111
4,45,113
4,45,114
4,45,120
4,45,121
4,45,122
4,45,123
4,45,124
4,45,125
4,45,126
4,45,127
4,46,1
4,46,19
4,46,111
4,46,114
4,46,121
4,47,1
4,47,19
4,47,20
4,47,111
4,47,114
4,47,121
4,48,1
4,48,19
4,48,86
4,48,111
4,48,121
4,48,130
4,49,1
4,49,19
4,49,86
4,49,111
4,49,121
4,49,131
4,49,132
4,49,133
4,50,1
4,50,19
4,50,111
4,50,117
4,50,121
4,50,131
4,50,132
4,50,134
4,51,1
4,51,19
4,51,111
4,51,117
4,51,131
4,51,132
4,51,134
4,51,135
4,51,136
4,52,1
4,52,19
4,52,23
4,52,117
4,52,131
4,52,132
4,52,134
4,53,1
4,53,19
4,53,111
4,53,137
4,53,138
4,54,1
4,54,19
4,54,131
4,54,132
4,54,139
4,54,140
4,55,1
4,55,19
4,55,117
4,55,131
4,55,132
4,55,141
4,55,142
4,56,1
4,56,19
4,56,111
4,56,121
4,56,131
4,56,137
4,56,139
4,56,140
4,57,1
4,57,19
4,57,131
4,57,140
4,58,1
4,58,19
4,58,111
4,58,121
4,58,131
4,58,132
4,58,133
4,58,137
4,58,140
4,58,143
4,58,144
4,59,1
4,59,19
4,59,111
4,59,117
4,59,121
4,59,131
4,59,132
4,59,134
4,59,139
4,60,1
4,60,19
4,60,117
4,60,131
4,60,132
4,60,142
4,60,145
4,61,1
4,61,19
4,61,111
4,61,131
4,61,132
4,61,137
4,62,1
4,62,19
4,62,111
4,62,121
4,62,130
4,62,131
4,62,132
4,62,137
4,63,1
4,63,19
4,63,111
4,63,131
4,63,137
4,63,139
4,64,1
4,64,19
4,64,111
4,64,131
4,64,134
4,64,144
4,64,146
4,65,1
4,65,19
4,65,111
4,65,121
4,65,131
4,65,132
4,65,134
4,65,144
4,66,1
4,66,19
4,66,121
4,66,131
4,66,139
4,66,144
4,66,147
4,67,1
4,67,19
4,67,111
4,67,121
4,67,131
4,67,137
4,67,144
4,67,146
4,68,1
4,68,19
4,68,111
4,68,131
4,68,134
4,68,135
4,68,137
4,69,1
4,69,19
4,69,111
4,69,131
4,69,134
4,69,137
4,70,1
4,70,19
4,70,111
4,70,121
4,70,130
4,70,131
4,70,132
4,70,135
4,70,137
4,70,148
4,71,1
4,71,19
4,71,111
4,71,130
4,71,131
4,71,137
4,71,148
4,72,1
4,72,19
4,72,86
4,72,111
4,72,121
4,72,130
4,72,131
4,72,137
5,73,1
5,73,19
5,74,1
5,74,19
5,74,121
5,75,1
5,75,19
5,75,20
5,75,111
5,75,121
5,75,137
5,75,149
5,76,1
5,76,19
5,76,111
5,76,121
5,76,133
5,76,137
5,77,140
5,77,150
5,77,151
5,77,152
5,77,153
5,77,154
5,78,1
5,78,19
5,78,111
5,78,137
5,79,1
5,79,19
5,79,111
5,79,121
5,79,150
5,79,151
5,79,152
5,79,155
5,80,1
5,80,19
5,81,1
5,81,19
5,81,151
5,81,152
5,82,150
5,82,153
5,83,1
5,83,19
5,83,150
5,83,151
5,83,152
5,83,156
5,83,157
5,84,150
5,85,1
5,85,19
5,85,151
5,85,157
5,85,158
5,86,1
5,86,19
5,86,150
5,86,151
5,86,152
5,86,157
5,87,1
5,87,19
5,87,150
5,87,151
5,87,152
5,87,156
5,87,157
5,88,1
5,88,19
5,88,111
5,88,150
5,88,151
5,88,152
5,88,155
5,89,1
5,89,19
5,89,151
5,89,152
5,90,1
5,90,151
5,90,157
5,90,158
5,91,1
5,91,19
5,91,150
5,91,151
5,91,152
5,91,159
5,92,1
5,92,152
5,93,1
5,93,19
5,93,151
5,94,1
5,94,19
5,94,111
5,94,137
5,94,150
5,94,151
5,94,152
5,94,155
5,94,160
5,94,161
5,95,1
5,95,161
5,95,162
5,96,1
5,96,19
5,96,150
5,96,152
5,97,1
5,97,19
5,97,111
5,97,161
5,97,162
5,98,1
5,98,19
5,98,121
5,98,151
5,98,152
5,98,163
5,98,164
5,99,140
5,99,150
5,99,151
5,99,153
5,100,1
5,100,19
5,100,151
5,100,152
5,100,163
5,100,164
5,101,1
5,101,19
5,101,151
5,101,152
5,101,163
5,101,164
5,102,1
5,102,19
5,102,111
5,102,121
5,102,152
5,103,1
5,103,19
5,103,151
5,103,152
5,103,156
5,103,163
5,103,164
5,103,165
5,104,1
5,104,19
5,104,150
5,104,151
5,104,152
5,104,159
5,104,165
5,104,166
5,104,167
5,105,1
5,105,19
5,105,111
5,105,150
5,105,165
5,106,1
5,106,19
5,106,23
5,106,111
5,106,150
5,106,151
5,106,152
5,106,159
5,106,165
5,107,1
5,107,111
5,107,168
5,108,19
5,108,150
5,108,151
5,108,152
5,108,153
5,108,163
5,108,164
5,109,1
5,109,111
5,109,152
5,110,150
5,110,151
5,110,152
5,110,153
5,111,1
5,111,19
5,111,111
5,111,168
5,112,1
5,112,19
5,112,111
5,112,151
5,112,152
5,113,19
5,113,151
5,113,152
5,113,156
5,113,157
5,113,169
5,113,170
5,114,1
5,114,152
5,114,168
5,115,19
5,115,151
5,115,152
5,115,156
5,115,157
5,115,158
5,116,1
5,116,168
5,117,19
5,117,158
5,118,1
5,118,168
5,119,1
5,119,19
5,119,111
5,119,151
5,119,152
5,119,155
5,119,156
5,119,157
5,119,158
5,119,165
5,120,1
5,120,19
5,120,121
5,120,150
5,120,151
5,120,152
5,120,165
5,121,1
5,121,19
5,121,111
5,121,137
5,121,150
5,121,151
5,121,152
5,121,165
5,122,1
5,122,19
5,122,111
5,122,151
5,122,165